Date,Time,Tank 1 (%),Tank 2 (%),Tank 3 (%),Flow
1/31/2023,8:14:20 AM,60.429066,50.393875,34.660393,64.951935
,,,,,
1/31/2023,8:14:22 AM,60.483902,50.479706,34.772449,64.191368
,,,,,
1/31/2023,8:14:24 AM,60.588806,50.556,34.896431,66.501678
,,,,,
1/31/2023,8:14:26 AM,60.681797,50.637062,34.972725,66.93084
,,,,,
1/31/2023,8:14:28 AM,60.598343,50.708591,35.070477,64.277199
,,,,,
1/31/2023,8:14:30 AM,60.679413,50.78727,35.203995,65.619514
,,,,,
1/31/2023,8:14:32 AM,60.67226,50.863564,35.270752,64.761192
,,,,,
1/31/2023,8:14:33 AM,60.569733,50.877869,35.361351,63.01833
,,,,,
1/31/2023,8:14:35 AM,60.667484,50.958939,35.482948,67.22171
,,,,,
1/31/2023,8:14:37 AM,60.796238,51.042385,35.559242,67.569809
,,,,,
1/31/2023,8:14:38 AM,60.810543,51.070995,35.606926,64.076927
,,,,,
1/31/2023,8:14:40 AM,60.796238,51.154442,35.730907,65.018692
,,,,,
1/31/2023,8:14:41 AM,60.784317,51.163979,35.733292,66.711487
,,,,,
1/31/2023,8:14:43 AM,60.879684,51.218815,35.831043,66.051056
,,,,,
1/31/2023,8:14:45 AM,60.946442,51.311798,35.931183,65.519379
,,,,,
1/31/2023,8:14:46 AM,60.932137,51.342793,35.978867,66.146431
,,,,,
1/31/2023,8:14:47 AM,60.924984,51.361866,36.036087,65.812637
,,,,,
1/31/2023,8:14:49 AM,61.006046,51.442932,36.10046,65.183205
,,,,,
1/31/2023,8:14:50 AM,61.001278,51.490616,36.133842,65.846016
,,,,,
1/31/2023,8:14:52 AM,61.077572,51.564526,36.2006,65.390633
,,,,,
1/31/2023,8:14:54 AM,60.998894,51.597904,36.281662,64.060234
,,,,,
1/31/2023,8:14:56 AM,61.037041,51.683735,36.393723,66.103516
,,,,,
1/31/2023,8:14:58 AM,61.072803,51.757645,36.462864,65.338181
,,,,,
1/31/2023,8:15:00 AM,61.149097,51.793407,36.560616,65.266647
,,,,,
1/31/2023,8:15:01 AM,61.134792,51.807713,36.62022,65.939003
,,,,,
1/31/2023,8:15:02 AM,61.106182,51.84586,36.634529,66.341934
,,,,,
1/31/2023,8:15:04 AM,61.208706,51.900696,36.739433,65.617134
